text,offline_crime,online_crime,drugs,gambling,pornography,prostitution,slavery,suicide,terrorism,weapons,body_shaming,health_shaming,politics,racism,religion,sexual_minorities,sexism,social_injustice
РРРРРРЯЯЯЯЯЯЯ РУССКИЕ ВАНЬКИ НИКОМУ НЕ НУЖНЫ!!NUMBER!!NUMBER САМЫЕ УРОДЛИВЫЕ МУЖИКИ НА СВЕТЕ!!!NUMBER! МНЕ ТАК НА САЙТЕ БЬЮТИФУЛПИПЛ СКОЗАЛИ!!!NUMBER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
"По моему, быдло тот кто осуждает чужие предпочтения.А тёлки которые просто ебутся-бляди. Проиграл с двуличного лицемера.",0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Бабы это вообще безхуйные сиськастые ссущие сидя существа,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"изнасиловалиа говорила что девственницаЯ так думаю, в ее ведро половина мухосранска слила. Она снова напиздела тебе, Оп. Не верь шлюхам.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"и что ? не сосут только уебищные тни, видосов частных нет только у совсем стремных баб",0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Взгляните на пизду. Как психически здоровый человек захочет вставлять в эту мерзость? Женская издания это самый страшный орган человека.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
так она не шлюха.видно что нищенка    и при этом ребенок есть нахуя травить ???,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Проблема общества в том, что у селёдок есть связь между поколениями, а у мужчин нет. Пока бати воевали, умирали, въёбывали, мамки учили дочерей женским хитростям, а сыновей баборабству.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Нахуй мне баба? Жить мне одному удобнее, ебаться я к проституткам езжу. Ну и нахуй мне баба?",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Ну просто нехуёвый общественный резонанс. У нас же по всем каналам рассказывают, что девочки даже не какают, а тут сраки разбитые и чуть ли не открытая проституция у каждой второй.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Писечки пытается разглядеть. Это их пимп, они ж проститутки все, мы ведь это уже выяснили.",0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Этот секс используется для суррогатного ощущения, что она нужна куну. Она сама себя наебывает.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Т е ты совсем не общаешься с парнем, ми или мужчинами, и которые тебя не интересуют в плане секса? А как же работа или учеба, где придётся общатся",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ну на публике она позиционирует себя как девочка недотрога. Только вот в реальности ебется с NUMBER лет.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
А ещё в первые за серию герои - одни мужики. Ну судя по роликам.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Это же баба Эти существа едва дышат самостоятельно,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Я чего то не понял чего челика минусят? Таких девушек не бывает?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
а зачем тебе в NUMBER грудь?? грудь нужна если хочешь сексом заняться..,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Да.Прям так.Бывает такие тянки гавнарки найдутся купят водки пригласят накатят ну такое,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Неужели такие няши могут быть шлюхами?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"мужчиныА бабы как всегда, сидели на жопе и нихуя не делали.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"У меня хоть на мужиков и стоит, но я какую-то совершенно ничем не необоснованную ненависть к этим вещам и людям испытываюПросто ты жертва оппрессинного патриархата, не ной, лучше выйди в окно.",0.0,0.0,0.0,0.0,0.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,1.0,0.0
"Кобель не захочет, сучка не вскочит.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
" А жена-проститутка будет, с высокой вероятностью, без «крымнаш», без «дедывоевали» и без «этожеребенок».Ожидаешь выдающихся интеллектуальных способностей от тян, которая не нашла никакого способа заработка кроме проституции?",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,1.0,0.0
NUMBER. NUMBERд шлюхи не нужны.NUMBER. Все богини равны.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Нормальная девка подсев на наркотуНормальная девка,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Баба - бабой на фоткахна фотке явный мужик косящий под бабу,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,1.0,1.0,0.0
"ночных бабочекДа простит меня Окамма, но между проститутками и шлюхами большая разница.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,1.0,0.0
"против сексизма и заработка пиздойМамкин шовинистНайс маневры, шлюха.",0.0,0.0,0.0,0.0,0.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,1.0,0.0
"Сталлоне снимет женский вариант «Неудержимых»Так не получится нехуя. Из боевых баб только Рипли есть, а все остальные были либо полу боевые Сара Конор либо дамочки в беде.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0
Там по гормональному уровню уже давно мужикзис. Силу/скорость в бою определяют гормоны. И само понятие самка/самец определяет только соотношение гормонов мужских и женских.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Фемибляди обычно поддерживают проституциюсмачно омежки порвалисьвсе равно вам никогда не выебать покорную куртизанку,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
"алкоголизминфаркты у мужчинжёны шлюхи, которым ты всё должен ""априори""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
а есть тут парни которые ппц как похожи на баб и чувствуют себя женщиной но хотят быть мужиком и не могут себя заставить стать мужиком потому что слабы духом,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
А как отличить мужика лягушку от бабы,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
А как феминистки к этому относятся? Ведь порно построено обычно на сексуальной объективации  женщин. То есть эти бляди создают для всех женщин хуевый контекст.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
А мужики в фехтовании баб тоже уделывают?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
А например в Канаде NUMBER баб и NUMBER мужиков там бабы пздц себя запустили,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
